Average waiting time,Cumulated waiting time,average speed,emission of Co2,evacuated_vehicle,nb_collision,episode reward,nombre episode
6.33689524199816,150.47982478158355,4.383359655705789,55695.81265147072,299,20,-1591.0421531576349,0
12.503637211379983,286.23537858457644,4.551918119074989,63162.211801011006,317,40,-3045.323015670913,1
5.133563542509277,76.16770668725215,6.9782200836963675,37452.99609991023,327,40,-1456.2659787420246,2
3.8976049547961797,55.409937744794924,6.344063259377278,33745.654994423174,326,36,-1228.9206939291582,3
3.119174791567118,50.48690178868752,6.039548626400565,36971.007506359725,328,44,-1416.2612406366438,4
3.8737129941436597,54.49699231699235,6.024277806744922,34687.0361838353,323,60,-1744.6527769324503,5
3.2773313589156308,50.56292580702692,6.446791786266583,37364.63755801712,322,36,-1169.1658476878483,6
1.7505251075130122,21.032591605568484,7.249201684600701,29255.071263207876,321,42,-961.7297324886399,7
4.838294051186646,78.88563954563955,5.736846868548617,36364.921967883354,316,50,-1892.7530542671102,8
3.424214402032381,51.647940568842195,6.469714067913311,34758.11151613243,328,46,-1427.107426048115,9
4.7002836512933115,119.07852320581915,5.386439877921457,47480.14636038489,314,54,-1810.700040097933,10
9.695611507224614,187.86059782463525,5.636544613452965,50727.14634347462,298,34,-2448.634907406558,11
2.5576500270417624,26.767075456648328,6.738828511935059,28553.16541673952,312,52,-1443.3374347463905,12
3.599984649072306,60.26226793070369,7.02199633687955,32610.4408371198,327,58,-1668.1274109141004,13
7.981873988491815,133.34999298540964,6.14779661694681,40204.89899619464,311,32,-1920.7127869039953,14
1.2893725403138714,14.05726597369039,6.953895916613601,28854.393004890346,322,62,-1277.9625531244615,15
4.110675864680111,64.0855335479707,5.414749823377935,43154.31185619092,325,62,-1892.9451319919785,16
4.547179432689893,77.73632176031671,5.696883635299718,43367.56940586815,305,64,-2098.936326152909,17
2.099515620106716,25.169443447896487,6.618185257262655,32877.22228591706,323,64,-1628.9877962147848,18
3.6910103618437358,74.22906233911257,5.910296831859254,36403.41380240543,301,50,-1638.7967762926185,19
4.73312358277867,77.71695164132352,5.020014681760258,44601.24298057752,320,60,-2047.6058786872413,20
2.5889179752472997,34.43011709035645,7.229320448068323,29126.505760145857,320,54,-1367.589595219508,21
4.1995270505898885,60.42157602567435,6.106406839621008,38690.17739356889,325,60,-1906.2190779635769,22
2.363006987398629,25.68328259042544,7.205679732674606,28514.547876784203,330,76,-1721.0268676661462,23
5.251546754498364,83.91793430870969,6.6826404180758745,36541.63467705755,315,66,-2077.4432834952345,24
3.092246309859629,44.84118815411918,7.57350830415153,32348.279729723614,327,72,-1865.7564856212032,25
2.831025504096543,34.39723095005355,6.527193069330796,32958.55260601474,326,52,-1494.9834421746555,26
