Average waiting time;Cumulated waiting time;average speed;emission of Co2;evacuated_vehicle;nb_collision;episode reward;nombre episode
5,547637187;115,8942154;3,761815975;35500,22654;507;120;-2692,582309;85
2,409654263;39,10738084;4,462667688;28039,98317;522;96;-1723,630422;86
1,779095857;24,68329816;4,55430794;25295,8576;539;128;-2021,420473;87
2,14222578;34,95261354;4,704137063;27374,3694;545;146;-2299,206138;88
2,141141977;31,57211478;4,656475991;26225,22191;542;142;-2305,263633;89
1,78667884;24,50119221;4,960652384;24733,55233;555;132;-1966,13295;90
2,94531837;48,8268288;4,450924833;28783,14383;538;138;-2332,908788;91
3,281927916;68,76708578;4,032315121;34233,2334;515;138;-2402,833925;92
4,080738;92,13073041;3,84642759;36313,43586;526;134;-2612,632963;93
4,281753248;94,17757551;3,913478862;36534,88942;548;132;-2426,911831;94
3,681555279;64,60931754;4,517449798;30594,19376;526;126;-2298,470326;95
3,181545528;55,22824196;4,370132333;29701,76709;536;142;-2349,182061;96
1,617012722;22,43098995;4,880057128;24541,13147;529;124;-1889,007199;97
1,605590768;22,26195662;5,096050905;24597,87963;550;158;-2280,928369;98
2,978052254;53,56298883;4,300537451;29925,12109;522;146;-2471,222697;99
4,84589982;91,17148087;4,338313561;31934,26089;528;110;-2316,425306;100
2,618700642;40,01695675;4,420382978;27497,69968;529;132;-2095,016977;101
1,897564624;28,21208451;4,777082698;25821,35208;554;122;-1886,738182;102
3,752779629;67,36244307;4,277798742;31313,96235;509;124;-2483,308308;103
3,285103367;68,07784294;4,050059514;33134,99357;511;136;-2398,421995;104
1,909652676;28,88510974;4,764708778;25658,63785;537;126;-1951,612624;105
2,826658014;50,05310248;4,302367336;29078,69823;503;124;-2133,925746;106
2,255959602;37,28797678;4,302434437;27607,67322;507;152;-2516,147638;107
4,457238166;96,77612711;4,091848442;36259,14228;543;130;-2523,334051;108
2,956237082;46,87479392;4,65835049;28687,63088;522;124;-2117,826644;109
2,475923614;39,41316763;4,365773232;27978,69523;528;124;-2240,086977;110
2,716049292;45,37295018;4,38747268;29083,19793;558;144;-2394,198993;111
2,448159935;40,88070108;4,311760717;28124,09997;544;130;-2099,179054;112
2,035433944;28,55941429;4,669635409;25892,1056;540;154;-2272,071557;113
2,646259565;43,06289521;4,267183196;28605,27463;509;112;-1949,675917;114
2,947315058;54,99973643;4,045199751;30246,19132;499;110;-2132,123422;115
2,69595173;44,61447341;4,586079414;27694,385;525;134;-2270,298368;116
2,746937496;46,97921344;4,727911678;27970,48384;540;134;-2220,46618;117
3,126200357;63,16973978;4,069723593;31969,71974;529;130;-2332,806512;118
2,045721279;32,43670894;4,782691815;26245,45699;557;136;-2125,781518;119
3,283295266;58,14415497;4,058780369;30470,04206;466;134;-2457,831857;120
1,920631837;28,23857492;4,910979524;25316,71661;530;140;-2069,672158;121
2,229327369;37,16149465;4,351823419;27683,48784;505;126;-2163,709961;122
2,623566701;45,52847575;4,394016966;28766,61398;545;140;-2286,555308;123
3,549734257;61,8630595;4,233783231;31379,12328;561;150;-2400,457501;124
2,447313795;38,38761025;4,651346982;28159,75031;566;138;-2155,547469;125
2,225255256;35,0979813;4,563352962;26886,08178;516;126;-2106,75742;126
