Average waiting time;Cumulated waiting time;average speed;emission of Co2;evacuated_vehicle;nb_collision;episode reward;nombre episode
0,7770517063579683;9,238622372188802;5,913911868977724;21174,593055089284;322;82;-1390,0074120324118;0
2,054420686113196;32,111731469194154;5,308520523022027;25181,37369600164;316;38;-596,1530275280275;1
1,0354816102038373;13,074927541594212;5,397461324297458;22290,2795767849;324;72;-1145,6217032967036;2
1,128455505109662;14,991538078509905;5,363913477252146;22830,132883187067;328;66;-1095,7307720057718;3
1,1919383338883538;15,21041654312202;5,403127686217419;22555,03861186121;317;52;-798,2447413697417;4
0,8100146958810369;12,526771267947737;5,727989977531696;21247,11970875037;317;66;-1122,521453546454;5
1,8912671999337036;31,01379011487706;5,191229133416543;25590,988242625048;324;82;-1358,5247585747582;6
0,8168284166629848;10,125291094041092;5,9410267329604824;21378,878044544534;322;48;-736,2573759573761;7
0,6948597079874657;7,448114460614462;5,666810383084533;20922,29344361548;325;60;-1006,4952214452211;8
1,0383367950704967;13,316022905384612;5,590609868520813;22617,016466751436;326;60;-1076,8155483405483;9
0,8118191592748738;8,988472130373543;5,823940561925718;21833,523087360947;324;74;-1298,8885420135414;10
1,3248171064905954;19,81793618123406;5,390847896036851;24162,997223252314;328;76;-1412,5097319347317;11
0,7934886707523332;9,039843649555879;5,831966966800704;20996,90020024423;329;68;-1019,7970890220892;12
2,5053209151427733;42,07658129568842;5,3336038449344025;24111,300304376062;324;64;-1040,2175213675212;13
0,9662935556406084;11,714408992833649;5,29926331469755;22145,548212966838;321;70;-1171,1732045732042;14
0,720317541043019;8,79221058648142;5,492905920601732;21740,203905695977;325;70;-1011,2843378843377;15
1,0135777684728715;13,126639507574756;5,440368886993545;22726,109908222286;317;62;-1000,6646298146298;16
1,5113279957401677;23,11852466227466;5,43855391151848;24338,590078704612;323;74;-1296,0713175713176;17
1,7800923368599002;26,780868748803535;4,931896420626432;26157,497925664924;327;54;-927,2495781995782;18
0,9109958390407707;11,87346242235131;5,834659408929874;21539,950589321994;322;54;-809,0714313464314;19
0,6584804073727549;7,305667428919179;5,430741536018888;21039,264042022645;327;56;-845,5007714507708;20
0,5975575637607305;6,816959189515579;5,7848535142591215;21076,335474014744;326;62;-883,5637057387054;21
1,4503396369647652;19,749714440810333;5,165896765500874;23791,515814359835;325;58;-1062,0874625374624;22
1,2768874964483639;15,235793114931049;5,704602569493831;21917,874836812578;325;68;-1293,2470501720502;23
0,7387601060130671;8,818204973834114;5,544252400269121;21351,130061262153;321;64;-1110,5462870462873;24
1,438474660404441;18,16650215426811;5,05405950135045;23999,774406271346;323;66;-1023,8221472971474;25
0,9089925908118967;10,252796112617544;5,504424601303768;21659,918962692976;325;76;-1421,5404734154731;26
0,4165537124328483;4,398577242102421;5,9915308141265555;20131,427276381088;326;66;-1028,1451714951718;27
1,7351632250819842;25,712848970952415;4,781782655670334;26169,169172846963;324;60;-940,7596375846376;28
1,0051364501376874;11,753738729219496;5,638324958738543;22164,860541027687;327;48;-745,5509324009324;29
1,7020064834889956;24,392097676880297;5,0611367099023585;25708,897475096885;320;66;-1055,3888417138412;30
0,9972442971122577;12,372551966551963;5,173802595443617;22576,93731733129;322;74;-1509,8366994116996;31
1,4190130413586903;18,594257749549723;5,4011090906484505;22925,433639492177;324;56;-783,3207819957818;32
2,1294418125129657;30,376499221728224;5,3211542335274915;24453,452957870093;319;64;-1026,638480963481;33
1,399451531074031;19,790120406968228;5,492254337139133;23304,760415544042;327;70;-1088,4955932955932;34
1,2518646067353676;17,378707786466403;4,743214024823686;24799,65244330581;327;66;-1139,7721250971247;35
2,3362644877747583;38,295617745049555;5,448360418209182;25252,23553030959;325;58;-954,6109279609279;36
1,598821988210077;22,329628207613286;5,379173122986858;23668,879467321687;326;60;-933,5901959151962;37
0,8242967654191047;9,927436931573622;5,696843194160175;21670,45863107356;326;82;-1413,6007020757022;38
0,7670885815337266;9,475025522208618;5,592598832232119;22202,89733416107;328;58;-994,6118159618161;39
1,3507439668446357;17,73417388749556;5,240685852905508;22888,88433321718;325;80;-1259,7644355644354;40
1,4874853349384285;22,04295646078863;5,576962473907647;22404,37737012329;317;80;-1202,8855422355427;41
0,9266520222226066;11,334426741447292;5,5272544831213315;21682,719790807387;327;68;-1121,683277833278;42
2,2336297633009905;37,04495585763444;4,982203986615739;27202,52544215004;325;76;-1038,8765456765457;43
1,1353261472109362;13,434542510629472;5,62486246793809;22140,57929030022;322;64;-1050,3097735597732;44
1,8827687725545834;26,761079950142445;5,2334831914120485;24552,80681958848;325;56;-934,5699439449437;45
0,8608055203987747;10,202536971421864;5,607646100530848;22030,217730843568;321;66;-1200,8954406704402;46
1,148840897132264;13,544618192752525;5,379118410566205;22088,010730496997;323;78;-1031,8289960039963;47
4,052603374444978;72,21810404507775;4,528338644710435;31829,983546355244;320;80;-1317,8049367299366;48
1,9341000844585077;26,305202238961357;5,240463986320069;25158,128152154062;322;62;-1158,5604090354095;49
1,5411768587872579;22,37689716358782;4,953666169648144;24537,98258433786;321;74;-1340,5333832833828;50
1,4442629620195702;18,427769300714505;5,539790348602805;22377,340328257105;319;66;-1112,8236541236543;51
0,8988744380313185;12,491744026948105;5,372134955830964;22517,15465012899;326;58;-1018,4031218781215;52
1,9410847823388897;27,86320951606187;5,0266211781556915;24656,511428753212;320;62;-954,6532439782436;53
1,3669389713144455;16,619427877886526;5,534592655938835;22782,5722906617;326;68;-931,4515345765345;54
1,551361244157239;20,21811086554237;5,187845527287105;23533,800161530093;323;74;-1044,0014041514044;55
0,7137227747054912;9,259528660927263;5,772684588149111;21665,384971492174;328;68;-1208,2561466311463;56
2,2194690436642497;32,89999371770207;4,394309816782331;26978,686052759465;323;56;-855,9563797313793;57
2,261160282063624;35,702797668531915;4,687104500503845;27854,99717714133;328;54;-839,483510933511;58
1,8783765744981857;26,433144852749162;5,469470325147092;23443,429699962788;327;68;-1033,6417055167058;59
0,9788570024610302;14,528959321295089;5,587842861458077;22406,444417089653;328;52;-862,9177350427349;60
1,654893631089843;22,279390616890613;5,009082032139705;24599,827634193254;328;60;-1003,3828060828063;61
